split,model,horizon,RMSE,MAE,R2,daylight_RMSE,n_daylight
test,MLP,17,195.85665772842887,94.28660440183486,0.9695281040924237,276.9201251627092,2189
test,MLP,18,182.9904782966246,77.50055114994699,0.9784448344351171,249.98796833364955,2344
test,MLP,19,184.95425875525962,72.83175756215117,0.979078012142937,249.69671392703066,2398
test,MLP,20,198.74124699355886,85.05962543446219,0.9719630571383817,274.5103616167413,2292
test,MLP,21,207.28974931565506,100.03753987908269,0.9618665300617443,293.10043494831154,2188
test,MLP,22,208.33607395733102,106.37429427618179,0.9590041324274298,294.554454990235,2188
test,MLP,23,199.15992499330474,98.82953608302097,0.9684953460194204,281.5711576616366,2188
test,MLP,24,187.05284807265997,83.072751144706,0.9774772946297294,255.45832391812885,2343
test,LSTM,1,106.49049987045014,56.660554031108866,0.9930645118264333,141.85309468375067,2398
test,LSTM,2,129.83741048124853,66.60947728630939,0.9880347359336658,177.54300349403448,2292
test,LSTM,3,157.45167075957386,82.39827345320153,0.977999853582181,221.44572196509083,2188
test,LSTM,4,174.10601132462477,91.00810563120363,0.9713696073743706,245.24845656477436,2188
test,LSTM,5,178.0981431164239,90.37295388249412,0.9748071960355906,251.0410902265777,2188
test,LSTM,6,174.45480423170932,82.70981408995745,0.9804096451913635,237.4777407679152,2343
test,LSTM,7,180.7621193611967,85.81995665005742,0.9800165644824952,242.80094973651643,2398
test,LSTM,8,192.08080630568574,95.56812766525934,0.9738121902378314,263.9961883461986,2293
test,LSTM,9,198.5971380309471,101.39867083013725,0.9649936978463722,279.9981382938384,2189
test,LSTM,10,198.22376476268823,102.54514402163363,0.9628824137328721,279.5356145438206,2189
test,LSTM,11,190.27860737617993,95.01040736218688,0.9712437705459528,268.1121026360159,2189
test,LSTM,12,179.06350605545325,78.92818598260284,0.9793642627740144,243.82542539377863,2344
test,LSTM,13,183.70723097255927,78.87235005674826,0.9793641878978836,247.31963899163037,2399
test,LSTM,14,196.00490289225718,90.25789727548063,0.9727347647981648,269.95717789695993,2293
test,LSTM,15,204.04801091972047,102.19767417498095,0.9630494120803714,287.631919166181,2189
test,LSTM,16,204.35795678935395,108.39797803858303,0.9605479774590795,287.84056005047375,2189
test,LSTM,17,195.3284675737623,102.47779148965495,0.9696922369128229,275.0131849122585,2189
