model,horizon,RMSE,MAE,R2,daylight_RMSE
HistGradientBoosting,8,190.22635570879763,81.57656860351562,0.9743154048919678,262.79299124976677
HistGradientBoosting,9,197.07281728462706,93.91018676757812,0.9655290246009827,278.6298507877431
HistGradientBoosting,10,196.02979285685123,98.06639862060547,0.9636995196342468,277.13115971954505
HistGradientBoosting,11,187.55356526536625,90.17891693115234,0.9720615148544312,265.17551675729794
HistGradientBoosting,12,176.30350473331492,74.66453552246094,0.9799954891204834,240.8483865681894
HistGradientBoosting,13,180.3589953051968,71.0718002319336,0.9801095724105835,243.5529973126999
HistGradientBoosting,14,196.26526612597553,88.55406188964844,0.9726622700691223,271.0816009525545
HistGradientBoosting,15,204.24025565801176,97.70804595947266,0.9629797339439392,288.7913796107841
HistGradientBoosting,16,203.28558075709648,101.68834686279297,0.9609609246253967,287.4452529395815
HistGradientBoosting,17,192.92098852250368,91.7593002319336,0.9704347252845764,272.78280909452485
HistGradientBoosting,18,179.9866477252549,77.46757507324219,0.9791467189788818,245.8686212314414
HistGradientBoosting,19,182.6289356180997,71.93199920654297,0.9796007871627808,246.67538607195894
HistGradientBoosting,20,198.17755612076763,89.64982604980469,0.9721218943595886,273.71657901011406
HistGradientBoosting,21,205.8909184799077,100.53826904296875,0.9623794555664062,291.16926187786373
HistGradientBoosting,22,207.45565226392364,103.72483825683594,0.9593498706817627,293.41081481431456
HistGradientBoosting,23,199.25198987400353,94.52104949951172,0.9684662222862244,281.79918603502034
HistGradientBoosting,24,186.99438076450318,78.793212890625,0.9774913787841797,255.5659696511842
XGBoost,1,75.28054301245442,28.504249572753906,0.9965340495109558,101.69803936624098
XGBoost,2,116.18731088607525,51.28266525268555,0.9904183745384216,160.53958696961632
XGBoost,3,153.93713205396546,72.94769287109375,0.9789710640907288,217.6876973872203
XGBoost,4,170.32366935851869,82.42046356201172,0.9726000428199768,240.84290458201173
